latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
18.32273,98.62691,331.87,0.49,0.4,2023-02-01,625,N,VIIRS,n,2,294.73,3.08,D,0
18.32721,98.63074,325.88,0.49,0.4,2023-02-01,625,N,VIIRS,n,2,294.75,4.43,D,0
18.35077,99.33576,341.32,0.45,0.39,2023-02-01,625,N,VIIRS,n,2,303.39,11.98,D,0
18.44698,98.84809,329.27,0.47,0.4,2023-02-01,625,N,VIIRS,n,2,298.22,2.35,D,0
18.71819,98.49258,341.32,0.49,0.4,2023-02-01,625,N,VIIRS,n,2,282.89,8.4,D,0
19.10971,99.48044,336.53,0.44,0.38,2023-02-01,625,N,VIIRS,n,2,298.71,4.68,D,0
18.33313,98.63079,315.57,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,293.01,1.75,N,0
18.33369,98.62701,304.36,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,292.06,1.03,N,0
18.33652,98.63155,324.25,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,293.34,1.75,N,0
18.33708,98.62776,310.11,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,292.65,1.03,N,0
18.34023,98.86436,305.47,0.4,0.37,2023-02-01,1856,N,VIIRS,n,2,291.56,1.02,N,0
18.39072,99.24808,303.71,0.4,0.37,2023-02-01,1856,N,VIIRS,n,2,291.86,1.05,N,0
18.42234,98.6176,304.04,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,290.96,0.74,N,0
18.42577,98.61807,308.01,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,292.13,0.74,N,0
18.43093,98.63063,301.9,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,291.06,0.6,N,0
18.43381,98.6349,304.8,0.41,0.37,2023-02-01,1856,N,VIIRS,n,2,290.92,1.17,N,0
18.47886,99.21974,302.09,0.4,0.37,2023-02-01,1856,N,VIIRS,n,2,291.99,0.82,N,0
18.77967,98.4855,304.18,0.42,0.38,2023-02-01,1856,N,VIIRS,n,2,284.83,0.79,N,0
18.43942,99.47088,339.42,0.55,0.51,2023-02-02,606,N,VIIRS,n,2,300.11,3.64,D,0
19.14832,99.27916,333.48,0.55,0.51,2023-02-02,606,N,VIIRS,n,2,295.94,5.65,D,0
18.33351,98.6247,302.02,0.48,0.48,2023-02-02,1837,N,VIIRS,n,2,290.92,0.83,N,0
18.29617,98.90532,309.44,0.47,0.64,2023-02-03,1818,N,VIIRS,n,2,288.29,1.29,N,0
18.44666,98.63506,301.08,0.49,0.65,2023-02-03,1818,N,VIIRS,n,2,288.83,0.54,N,0
18.57134,99.12307,331.02,0.57,0.52,2023-02-04,709,N,VIIRS,n,2,296.33,3.85,D,0
18.5751,99.11975,332.44,0.57,0.52,2023-02-04,709,N,VIIRS,n,2,296.68,3.13,D,0
18.31251,98.97421,335.49,0.44,0.39,2023-02-05,650,N,VIIRS,n,2,299.61,4.77,D,0
18.36766,98.95862,335.08,0.44,0.39,2023-02-05,650,N,VIIRS,n,2,301.97,2.11,D,0
18.39635,98.82694,330.15,0.44,0.38,2023-02-05,650,N,VIIRS,l,2,303.41,2.72,D,0
18.4482,98.86691,332.94,0.44,0.38,2023-02-05,650,N,VIIRS,n,2,301.83,3.06,D,0
18.44877,98.87107,334.35,0.44,0.38,2023-02-05,650,N,VIIRS,n,2,302.3,4.32,D,0
18.53081,99.44994,334.56,0.47,0.4,2023-02-05,650,N,VIIRS,n,2,299.76,3.6,D,0
18.58175,99.02796,349.6,0.45,0.39,2023-02-05,650,N,VIIRS,n,2,305.62,11.82,D,0
18.63875,99.07158,336.98,0.45,0.39,2023-02-05,650,N,VIIRS,n,2,302.95,1.29,D,0
19.08933,98.64278,331.69,0.44,0.38,2023-02-05,650,N,VIIRS,n,2,290.44,4.16,D,0
19.08988,98.64676,330.33,0.44,0.38,2023-02-05,650,N,VIIRS,n,2,291.18,5.07,D,0
19.10674,99.47962,336.56,0.48,0.4,2023-02-05,650,N,VIIRS,l,2,308.01,11.47,D,0
19.2187,98.93103,306.16,0.53,0.42,2023-02-05,1920,N,VIIRS,n,2,293.05,1.59,N,0
18.3251,99.21598,304.08,0.56,0.43,2023-02-05,1921,N,VIIRS,n,2,293.21,1.66,N,0
18.98092,99.35238,302.78,0.56,0.43,2023-02-05,1921,N,VIIRS,n,2,287.69,0.91,N,0
18.31473,98.95393,342.33,0.41,0.37,2023-02-06,631,N,VIIRS,n,2,307.32,6,D,0
18.31666,98.85851,345.63,0.41,0.37,2023-02-06,631,N,VIIRS,n,2,305.31,4.89,D,0
18.34385,98.74456,334.77,0.42,0.37,2023-02-06,631,N,VIIRS,l,2,307.32,5.94,D,0
18.36868,98.98412,346.51,0.41,0.37,2023-02-06,631,N,VIIRS,n,2,306.79,5.98,D,0
18.38564,99.2831,332.52,0.4,0.37,2023-02-06,631,N,VIIRS,l,2,302.71,2.3,D,0
18.3878,98.92906,332.16,0.41,0.37,2023-02-06,631,N,VIIRS,n,2,305.18,1.86,D,0
18.40147,99.1441,333.3,0.4,0.37,2023-02-06,631,N,VIIRS,n,2,304.92,3.48,D,0
18.40904,98.99699,347.15,0.41,0.37,2023-02-06,631,N,VIIRS,n,2,306.38,4.42,D,0
18.41127,99.16171,338.71,0.4,0.37,2023-02-06,631,N,VIIRS,n,2,305.28,3.24,D,0
18.50206,99.03175,336.49,0.41,0.37,2023-02-06,631,N,VIIRS,n,2,306.93,3.06,D,0
18.50432,99.45574,335.68,0.4,0.37,2023-02-06,631,N,VIIRS,n,2,305.39,5.28,D,0
18.52126,98.82587,335.06,0.41,0.37,2023-02-06,631,N,VIIRS,l,2,307.29,3.48,D,0
18.72131,98.67975,333.33,0.42,0.37,2023-02-06,631,N,VIIRS,n,2,305.64,2.72,D,0
19.10963,99.48415,332.68,0.39,0.36,2023-02-06,631,N,VIIRS,l,2,306.29,3.62,D,0
19.12255,99.16847,330.8,0.4,0.37,2023-02-06,631,N,VIIRS,n,2,304.45,4.85,D,0
19.12316,99.17226,333.26,0.4,0.37,2023-02-06,631,N,VIIRS,n,2,305.04,6.84,D,0
19.20181,99.44837,333.66,0.39,0.36,2023-02-06,631,N,VIIRS,n,2,302.23,3.23,D,0
19.21745,98.93268,336.97,0.4,0.37,2023-02-06,631,N,VIIRS,n,2,303.87,4.89,D,0
19.25205,99.47005,334.71,0.39,0.36,2023-02-06,631,N,VIIRS,n,2,301.94,2.4,D,0
19.27774,99.41569,331.7,0.39,0.37,2023-02-06,631,N,VIIRS,n,2,304.24,3.22,D,0
18.32624,99.21117,306.18,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.81,0.89,N,0
18.32908,98.7621,310.23,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.75,0.7,N,0
18.33581,98.87105,304.08,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.96,0.44,N,0
18.37751,98.64769,305.8,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,291.39,1.01,N,0
18.37807,98.64407,332.65,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.57,2.68,N,0
18.38139,98.64462,327.86,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.74,2.68,N,0
18.40086,99.16859,306.73,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,290.61,0.6,N,0
18.44688,99.02795,312.27,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.77,1.02,N,0
18.44745,99.02434,304.8,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.74,1.02,N,0
18.45292,99.03272,312.77,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.86,1.26,N,0
18.45866,99.27538,304.47,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.55,0.99,N,0
18.46724,99.13557,312.07,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,291.69,1.48,N,0
18.46728,99.22108,303.98,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.18,0.85,N,0
18.47004,98.64135,315.87,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,290.95,1.14,N,0
18.47061,98.63774,313.93,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,292.99,1.12,N,0
18.47117,98.63412,309.82,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,292.74,1.12,N,0
18.47173,98.63052,315,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,292.08,1.35,N,0
18.47335,98.64191,303.41,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,290.89,0.55,N,0
18.47504,98.6311,304.94,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,292.32,0.8,N,0
18.47667,98.64249,302.87,0.39,0.36,2023-02-06,1902,N,VIIRS,n,2,290.92,0.55,N,0
18.48337,99.22336,303.68,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.08,0.67,N,0
18.58239,98.72347,309,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.95,1.15,N,0
18.61388,99.25691,309.05,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.27,1.21,N,0
18.68679,98.81544,303.87,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,290.16,0.49,N,0
18.93497,99.06614,309.84,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.88,1.07,N,0
18.97852,99.34944,309.8,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,290.16,1.49,N,0
18.98339,99.3614,303.08,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,286.95,0.43,N,0
18.98397,99.3578,299.27,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,287.57,0.46,N,0
18.98669,99.36198,301.54,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,287.54,0.43,N,0
18.98856,99.04935,303.64,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.7,0.27,N,0
19.0297,99.09007,307.87,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,293.43,1.24,N,0
19.14728,99.18056,308.2,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,292.47,1.52,N,0
19.21249,98.93795,307.26,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,290.99,0.83,N,0
19.21362,98.93066,306.35,0.38,0.36,2023-02-06,1902,N,VIIRS,n,2,290.94,0.96,N,0
