latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
18.3031,100.97702,332.03,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,291.9,3.59,D,0
18.34208,100.89572,330.52,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,299.78,2.98,D,0
18.34275,100.89541,329.65,0.4,0.37,2023-02-01,625,N,VIIRS,l,2,299.91,4.16,D,0
18.34551,100.89108,332.68,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,300.39,3.46,D,0
18.34612,100.89484,346.35,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,300.18,4.16,D,0
18.34828,100.88672,328.48,0.4,0.37,2023-02-01,625,N,VIIRS,l,2,299.41,3.06,D,0
18.3483,100.75816,339.21,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,294.13,3.61,D,0
18.3767,100.99835,329.53,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,300.18,2.38,D,0
18.43284,101.17681,331.86,0.39,0.37,2023-02-01,625,N,VIIRS,n,2,291.08,1.37,D,0
18.52077,100.85246,333.39,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,295.27,3.17,D,0
18.78373,100.29297,327.26,0.41,0.37,2023-02-01,625,N,VIIRS,l,2,298.85,1.77,D,0
18.86004,100.63257,342.45,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,294.79,27.66,D,0
18.94588,100.32434,328.52,0.41,0.37,2023-02-01,625,N,VIIRS,n,2,299.28,2.12,D,0
19.13731,100.7278,345.06,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,292.23,11.27,D,0
19.15044,100.89599,331.73,0.4,0.37,2023-02-01,625,N,VIIRS,n,2,297.8,1.96,D,0
18.30256,100.9659,306.09,0.39,0.36,2023-02-01,1856,N,VIIRS,n,2,289.84,0.64,N,0
18.30357,100.98088,306.27,0.39,0.36,2023-02-01,1856,N,VIIRS,n,2,290.61,0.78,N,0
18.30529,100.97009,303.04,0.39,0.36,2023-02-01,1856,N,VIIRS,n,2,290.7,1.01,N,0
18.30587,100.96648,314.27,0.39,0.36,2023-02-01,1856,N,VIIRS,n,2,290.21,1.03,N,0
18.34174,100.89092,311.12,0.38,0.36,2023-02-01,1856,N,VIIRS,n,2,289.57,1.23,N,0
18.34232,100.8873,316.2,0.38,0.36,2023-02-01,1856,N,VIIRS,n,2,289.33,1.23,N,0
18.34563,100.88786,301.46,0.38,0.36,2023-02-01,1856,N,VIIRS,n,2,289.81,0.67,N,0
18.36742,101.00278,307.89,0.39,0.36,2023-02-01,1856,N,VIIRS,n,2,291.71,0.86,N,0
18.38213,100.95334,299.05,0.39,0.36,2023-02-01,1856,N,VIIRS,n,2,288.08,0.34,N,0
18.81188,100.65433,335.84,0.46,0.47,2023-02-02,606,N,VIIRS,n,2,299.37,5.45,D,0
18.81562,100.65728,332.54,0.46,0.47,2023-02-02,606,N,VIIRS,n,2,296.47,6.41,D,0
