feature,coefficient
intercept,-217.0120102531984
pm2_5_mean,0.9434283282955969
pm10_mean,-0.016333157481425373
co_mean,0.0010879598312626096
dust_mean,0.14742713058802623
temperature_mean,-0.13224074282841575
humidity_mean,-0.142118234922796
wind_speed_mean,-0.22021744088693204
wind_dir_sin,-0.032566650830757715
wind_dir_cos,-0.4096245369802797
precipitation_sum,-0.0030986503521499855
pressure_mean,0.24229074217666788
doy_sin,-0.07395125237452482
doy_cos,-0.3600726069871141
pm2_5_lag2,0.22523231377998906
pm2_5_roll3,-0.4076269366557619
