feature,coefficient
intercept,-73.77191053257002
pm2_5_mean,1.2293157485187147
pm10_mean,-0.020653013176571217
co_mean,-0.0001288133046819089
dust_mean,0.03692188429637737
temperature_mean,0.12721562775357512
humidity_mean,-0.22579123992079164
wind_speed_mean,-0.1620804462586632
wind_dir_sin,0.20813403536397204
wind_dir_cos,-0.8877281456224275
precipitation_sum,0.07186868244266445
pressure_mean,0.09235020574556874
doy_sin,-0.2111051252114211
doy_cos,-0.6103923461014198
pm2_5_lag2,0.3528601073373382
pm2_5_roll3,-0.7757133391603754
